ID,FPS,"LootType (0: Single, 1: Loop)",,
idle,17,1,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
Resources/MapObject/Booper/Booper_001.png,0,0,70,30
Resources/MapObject/Booper/Booper_002.png,0,0,70,30
Resources/MapObject/Booper/Booper_003.png,0,0,70,30
Resources/MapObject/Booper/Booper_004.png,0,0,70,30
Resources/MapObject/Booper/Booper_005.png,0,0,70,30
Resources/MapObject/Booper/Booper_006.png,0,0,70,30
Resources/MapObject/Booper/Booper_007.png,0,0,70,30
Resources/MapObject/Booper/Booper_008.png,0,0,70,30
Resources/MapObject/Booper/Booper_009.png,0,0,70,30
Resources/MapObject/Booper/Booper_010.png,0,0,70,30
Resources/MapObject/Booper/Booper_011.png,0,0,70,30
Resources/MapObject/Booper/Booper_012.png,0,0,70,30
Resources/MapObject/Booper/Booper_013.png,0,0,70,30
Resources/MapObject/Booper/Booper_014.png,0,0,70,30
Resources/MapObject/Booper/Booper_015.png,0,0,70,30
Resources/MapObject/Booper/Booper_016.png,0,0,70,30
Resources/MapObject/Booper/Booper_017.png,0,0,70,30
