ID,FPS,"LootType (0: Single, 1: Loop)",,
Kick,13,1,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
Resources/Character/Hero/Hero_Left_Kick/Hero_LKick_001.png,0,0,95,95
Resources/Character/Hero/Hero_Left_Kick/Hero_LKick_002.png,0,0,95,95
Resources/Character/Hero/Hero_Left_Kick/Hero_LKick_003.png,0,0,95,95
Resources/Character/Hero/Hero_Left_Kick/Hero_LKick_004.png,0,0,95,95
Resources/Character/Hero/Hero_Left_Kick/Hero_LKick_005.png,0,0,95,95
Resources/Character/Hero/Hero_Left_Kick/Hero_LKick_006.png,0,0,95,95
Resources/Character/Hero/Hero_Left_Kick/Hero_LKick_007.png,0,0,95,95
Resources/Character/Hero/Hero_Left_Kick/Hero_LKick_008.png,0,0,95,95
Resources/Character/Hero/Hero_Left_Kick/Hero_LKick_009.png,0,0,95,95
Resources/Character/Hero/Hero_Left_Kick/Hero_LKick_010.png,0,0,95,95
Resources/Character/Hero/Hero_Left_Kick/Hero_LKick_011.png,0,0,95,95
Resources/Character/Hero/Hero_Left_Kick/Hero_LKick_012.png,0,0,95,95
Resources/Character/Hero/Hero_Left_Kick/Hero_LKick_013.png,0,0,95,95
