ID,FPS,"LootType (0: Single, 1: Loop)",,
Victory,32,0,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_001.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_002.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_003.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_004.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_005.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_006.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_007.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_008.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_009.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_010.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_011.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_012.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_013.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_014.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_015.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_016.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_017.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_018.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_019.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_020.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_021.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_022.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_023.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_024.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_025.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_026.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_027.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_028.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_029.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_030.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_031.png,0,0,100,120
Resources/Character/Hero/Hero_Left_Victorye/Hero_LVictory_032.png,0,0,100,120
